EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Descripción;Subtipo;Modelo;Estado Elemento Inventario;Radio del aparato;Descripción Elemento Inventario;Número Ap. De Vía;Fecha de Servicio;Fecha de Modificación;Usuario de Modificación;Código Estación Inicio;Estación Inicio;Identificador Antecesores;Id. Raíz;Travesía;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
14112;Montcada Bifurcaçiò - VIA;TUD-15-78800 (MONTCADA-BIFURCACIO);2800;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I;356,886;;220;LLEIDA-PIRINEUS - BIF. VILANOVA;Travesía Unión Doble TUD;TUD-B1-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;15;;12/03/2020;CNV;78800;MONTCADA-BIFURCACIO;TUD-15-78800 (MONTCADA-BIFURCACIO);100685459;Travesía - TUD-B-54-320/225-0.11;100685459;022200090;MONTCADA-BIFURCACIO-BIF.VILANOVA                                                                                                ;356,707;365,216
14112;Montcada Bifurcaçiò - VIA;TUD-24-78800 (MONTCADA-BIFURCACIO);2800;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I;356,205;;220;LLEIDA-PIRINEUS - BIF. VILANOVA;Travesía Unión Doble TUD;TUD-B1-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;24;;12/03/2020;CNV;78800;MONTCADA-BIFURCACIO;TUD-24-78800 (MONTCADA-BIFURCACIO);100685223;Travesía - TUD-B-54-320/225-0.11;100685223;022200080;CERDANYOLA DEL VALLES-MONTCADA-BIFURCACIO                                                                                       ;351,157;356,707
14112;Montcada Bifurcaçiò - VIA;TUD-30-78800 (MONTCADA-BIFURCACIO);2800;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I;356,317;;220;LLEIDA-PIRINEUS - BIF. VILANOVA;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;30;;12/03/2020;CNV;78800;MONTCADA-BIFURCACIO;TUD-30-78800 (MONTCADA-BIFURCACIO);100685286;Travesía - TUD-A-54-320/225-0.11;100685286;022200080;CERDANYOLA DEL VALLES-MONTCADA-BIFURCACIO                                                                                       ;351,157;356,707
14111;L Hospitalet - VIA;TUD-41-71901 (BARCELONA-CAN TUNIS);996208;VIA 4 DE BARCELONA-CAN TUNIS;21,153;;238;CASTELLBISBAL-AGUJAS LLOBREGAT - BARCELONA-MORROT;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;41;;05/03/2020;1343078;71901;BARCELONA-CAN TUNIS;TUD-41-71901 (BARCELONA-CAN TUNIS);1064143;Travesía - TUD-A-54-320/225-0.11;1064143;022380020;RIU LLOBREGAT-BARCELONA-CAN TUNIS                                                                                               ;20,384;21,29
14111;L Hospitalet - VIA;TUD-48-71901 (BARCELONA-CAN TUNIS);996210;VIA 8 DE BARCELONA-CAN TUNIS;21,11;;238;CASTELLBISBAL-AGUJAS LLOBREGAT - BARCELONA-MORROT;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;48;;09/03/2020;1343078;71901;BARCELONA-CAN TUNIS;TUD-48-71901 (BARCELONA-CAN TUNIS);964654;Travesía - TUD-A-54-320/225-0.11;964654;022380020;RIU LLOBREGAT-BARCELONA-CAN TUNIS                                                                                               ;20,398;21,406
14111;L Hospitalet - VIA;TUD-82-71901 (BARCELONA-CAN TUNIS);996221;VIA 62 DE BARCELONA-CAN TUNIS;21,109;;238;CASTELLBISBAL-AGUJAS LLOBREGAT - BARCELONA-MORROT;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;82;;09/03/2020;1343078;71901;BARCELONA-CAN TUNIS;TUD-82-71901 (BARCELONA-CAN TUNIS);964658;Travesía - TUD-A-54-320/225-0.11;964658;022380020;RIU LLOBREGAT-BARCELONA-CAN TUNIS                                                                                               ;21,;21,109
14111;L Hospitalet - VIA;TUD-86-71901 (BARCELONA-CAN TUNIS);996210;VIA 8 DE BARCELONA-CAN TUNIS;21,39;;238;CASTELLBISBAL-AGUJAS LLOBREGAT - BARCELONA-MORROT;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;86;;09/03/2020;1343078;71901;BARCELONA-CAN TUNIS;TUD-86-71901 (BARCELONA-CAN TUNIS);964662;Travesía - TUD-A-54-320/225-0.11;964662;022380020;RIU LLOBREGAT-BARCELONA-CAN TUNIS                                                                                               ;20,398;21,406
14111;L Hospitalet - VIA;TUD-90-71901 (BARCELONA-CAN TUNIS);996217;VIA 22 DE BARCELONA-CAN TUNIS;21,21;;238;CASTELLBISBAL-AGUJAS LLOBREGAT - BARCELONA-MORROT;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;90;;05/03/2020;1343078;71901;BARCELONA-CAN TUNIS;TUD-90-71901 (BARCELONA-CAN TUNIS);964666;Travesía - TUD-A-54-320/225-0.11;964666;022380020;RIU LLOBREGAT-BARCELONA-CAN TUNIS                                                                                               ;19,952;21,472
14111;L Hospitalet - VIA;TUD-92-71901 (BARCELONA-CAN TUNIS);996213;VIA 14 DE BARCELONA-CAN TUNIS;20,7;;238;CASTELLBISBAL-AGUJAS LLOBREGAT - BARCELONA-MORROT;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;92;;05/03/2020;1343078;71901;BARCELONA-CAN TUNIS;TUD-92-71901 (BARCELONA-CAN TUNIS);964670;Travesía - TUD-A-54-320/225-0.11;964670;022380020;RIU LLOBREGAT-BARCELONA-CAN TUNIS                                                                                               ;20,27;21,026
14111;L Hospitalet - VIA;TUD-100-71901 (BARCELONA-CAN TUNIS);996252;VIA 32 DE BARCELONA-CAN TUNIS;22,;;238;CASTELLBISBAL-AGUJAS LLOBREGAT - BARCELONA-MORROT;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;100;;05/03/2020;1343078;71901;BARCELONA-CAN TUNIS;TUD-100-71901 (BARCELONA-CAN TUNIS);964674;Travesía - TUD-A-54-320/225-0.11;964674;022380020;RIU LLOBREGAT-BARCELONA-CAN TUNIS                                                                                               ;21,406;22,425
14111;L Hospitalet - VIA;TUD-102-71901 (BARCELONA-CAN TUNIS);996244;VIA 36 DE BARCELONA-CAN TUNIS;22,05;;238;CASTELLBISBAL-AGUJAS LLOBREGAT - BARCELONA-MORROT;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;102;;05/03/2020;1343078;71901;BARCELONA-CAN TUNIS;TUD-102-71901 (BARCELONA-CAN TUNIS);964678;Travesía - TUD-A-54-320/225-0.11;964678;022380020;RIU LLOBREGAT-BARCELONA-CAN TUNIS                                                                                               ;21,193;22,151
12109;Tardienta - VIA;TUD-5-78004 (SAN JUAN DE MOZARRIFAR);601429;VIA T.U.D 4U3  5 DE SAN JUAN DE MOZARRIFAR;7,532;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;TUD-5-78004 (SAN JUAN DE MOZARRIFAR);5;;21/05/2020;jupe;78004;SAN JUAN DE MOZARRIFAR;TUD-5-78004 (SAN JUAN DE MOZARRIFAR);100671321;Travesía - TUD-A-54-320/225-0.11;100671321;022000310;ZARAGOZA CORBERA ALTA-SAN JUAN DE MOZARRIFAR                                                                                    ;7,532;7,558
12109;Tardienta - VIA;TUD-6-78004 (SAN JUAN DE MOZARRIFAR);601428;VIA T.U.D 4U3  6 DE SAN JUAN DE MOZARRIFAR;6,958;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;6;;26/05/2020;jupe;78004;SAN JUAN DE MOZARRIFAR;TUD-6-78004 (SAN JUAN DE MOZARRIFAR);100671322;Travesía - TUD-A-54-320/225-0.11;100671322;022000310;ZARAGOZA CORBERA ALTA-SAN JUAN DE MOZARRIFAR                                                                                    ;6,958;6,984
14113;Martorell - VIA;TUD-9-72503 (CERDANYOLA UNIVERSITAT);85802;VIA 5 DE CERDANYOLA UNIVERSITAT;13,119;;246;CASTELLBISBAL AGUJAS RUBI - MOLLET-SANT FOST;Travesía Unión Doble TUD;TUD-B1-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;9;;12/03/2020;1343078;72503;CERDANYOLA UNIVERSITAT;TUD-9-72503 (CERDANYOLA UNIVERSITAT);100686046;Travesía - TUD-B-54-320/225-0.11;100686046;022460015;CASTELLBISBAL-AGUJAS LLOBREGAT-CERDANYOLA UNIVERSITAT                                                                           ;13,119;13,63
13111;Tarragona - VIA;TUD-139-71403 (TARRAGONA-MERCADERIES);997342;VIA 116A DE TARRAGONA-MERCADERIES;100,773;;624;AG.CLAS.KM 100.4 - TARRAGONA;Travesía Unión Doble TUD;TSU-A-54-0,11;En Servicio/Mantenible;;;139;;28/02/2023;1343078;71403;TARRAGONA-MERCADERIES;TUD-139-71403 (TARRAGONA-MERCADERIES);100669491;Travesía - TSU-A-54-0.11;100669491;026240010;AGUJA CLASIF. KM. 100,4.-TARRAGONA-MERCADERIES                                                                                  ;100,277;101,51
13111;Tarragona - VIA;TUD-206-71403 (TARRAGONA-MERCADERIES);997340;VIA 112 DE TARRAGONA-MERCADERIES;100,358;;624;AG.CLAS.KM 100.4 - TARRAGONA;Travesía Unión Doble TUD;TSU-A-54-0,11;En Servicio/Mantenible;;;206;;28/02/2023;1343078;71403;TARRAGONA-MERCADERIES;TUD-206-71403 (TARRAGONA-MERCADERIES);100669489;Travesía - TSU-A-54-0.11;100669489;026240010;AGUJA CLASIF. KM. 100,4.-TARRAGONA-MERCADERIES                                                                                  ;100,171;101,164
13111;Tarragona - VIA;TUD-210-71403 (TARRAGONA-MERCADERIES);997338;VIA 110 DE TARRAGONA-MERCADERIES;100,397;;624;AG.CLAS.KM 100.4 - TARRAGONA;Travesía Unión Doble TUD;TSU-A-54-0,11;En Servicio/Mantenible;;;210;;28/02/2023;1343078;71403;TARRAGONA-MERCADERIES;TUD-210-71403 (TARRAGONA-MERCADERIES);100669490;Travesía - TSU-A-54-0.11;100669490;026240010;AGUJA CLASIF. KM. 100,4.-TARRAGONA-MERCADERIES                                                                                  ;100,133;100,75
13112;S. Vicenç de Calders - VIA;TUD-43-71600 (SANT VICENÇ DE CALDERS);3110;S. VICENTE CALDERS-CASTELLBISBAL-L'HOSPITALET DE LLOB, II;25,252;;240;S.VICENÇ CALDERS - L HOSPITALET DE LLOBREGAT;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;S.Vicenç de Calders travesia 43;43;;16/06/2014;mijtue1;71600;SANT VICENÇ DE CALDERS;TUD-43-71600 (SANT VICENÇ DE CALDERS);100683043;Travesía - TUS-A-RN 45-0,09;100683043;022400010;SANT VICENÇ DE CALDERS-L ARBOÇ                                                                                                  ;25,177;36,516
13112;S. Vicenç de Calders - VIA;TUD-45-71600 (SANT VICENÇ DE CALDERS);3100;S. VICENTE CALDERS-CASTELLBISBAL-L'HOSPITALET DE LLOB, I;25,191;;240;S.VICENÇ CALDERS - L HOSPITALET DE LLOBREGAT;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;S. Vicenç de Calders travesia 45;45;;16/06/2014;mijtue1;71600;SANT VICENÇ DE CALDERS;TUD-45-71600 (SANT VICENÇ DE CALDERS);953366;;953366;022400010;SANT VICENÇ DE CALDERS-L ARBOÇ                                                                                                  ;24,563;36,516
13112;S. Vicenç de Calders - VIA;TUD-57-71600 (SANT VICENÇ DE CALDERS);85530;VIA 4 DE SANT VICENÇ DE CALDERS;24,962;;210;MIRAFLORES - SANT VICENÇ DE CALDERS;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;57;;09/05/2019;9700386;71600;SANT VICENÇ DE CALDERS;TUD-57-71600 (SANT VICENÇ DE CALDERS);1122567;;1122567;022100150;TARRAGONA - SANT VICENÇ DE CALDERS                                                                                              ;24,581;25,458
14111;L Hospitalet - VIA;TUD-25-72305 (L'HOSPITALET DE LLOBREGAT);85780;VIA 11 DE L'HOSPITALET DE LLOBREGAT;95,676;;276;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;25;;14/10/2008;CNV;72305;L'HOSPITALET DE LLOBREGAT;TUD-25-72305 (L'HOSPITALET DE LLOBREGAT);100686018;Travesía - TUD-A-54-320/225-0.11;100686018;022760200;BARCELONA-SANTS - LHOSPITALET DE LLOBREGAT                                                                                      ;95,237;95,919
14111;L Hospitalet - VIA;TUD-47-72305 (L'HOSPITALET DE LLOBREGAT);85785;VIA 2/1 DE L'HOSPITALET DE LLOBREGAT;95,675;;276;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;47;;11/03/2020;1343078;72305;L'HOSPITALET DE LLOBREGAT;TUD-47-72305 (L'HOSPITALET DE LLOBREGAT);1033430;Travesía - TUD-A-54-320/225-0.11;1033430;022760200;BARCELONA-SANTS - LHOSPITALET DE LLOBREGAT                                                                                      ;95,675;95,736
14112;Montcada Bifurcaçiò - VIA;TUD-16-79400 (BARCELONA-ESTACIO DE FRANÇA);3340;BIF. CLOT-ESTACION DE FRANCIA, III;684,733;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;16;;14/10/2008;CNV;79400;BARCELONA-ESTACIO DE FRANÇA;TUD-16-79400 (BARCELONA-ESTACIO DE FRANÇA);100685081;Travesía - TUD-A-54-320/225-0.11;100685081;022000585;BIF.GLORIAS-CLOT - BARNA.-EST. DE FRANÇA                                                                                        ;683,316;685,375
14112;Montcada Bifurcaçiò - VIA;TUD-20-79400 (BARCELONA-ESTACIO DE FRANÇA);995321;VIA C1/C2 DE BARCELONA-ESTACIO DE FRANÇA;684,832;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;20;;14/10/2008;CNV;79400;BARCELONA-ESTACIO DE FRANÇA;TUD-20-79400 (BARCELONA-ESTACIO DE FRANÇA);995592;Travesía - TUD-A-54-320/225-0.11;995592;022000585;BIF.GLORIAS-CLOT - BARNA.-EST. DE FRANÇA                                                                                        ;684,753;684,952
14112;Montcada Bifurcaçiò - VIA;TUD-22-79400 (BARCELONA-ESTACIO DE FRANÇA);3340;BIF. CLOT-ESTACION DE FRANCIA, III;684,845;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;22;;19/05/2020;1343078;79400;BARCELONA-ESTACIO DE FRANÇA;TUD-22-79400 (BARCELONA-ESTACIO DE FRANÇA);1275680;Travesía - TUD-A-54-320/225-0.11;1275680;022000585;BIF.GLORIAS-CLOT - BARNA.-EST. DE FRANÇA                                                                                        ;683,316;685,375
14112;Montcada Bifurcaçiò - VIA;TUD-26-79400 (BARCELONA-ESTACIO DE FRANÇA);3300;BIF. ARAGON-BARCELONA FRANCIA, I;684,87;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;26;;19/05/2020;1343078;79400;BARCELONA-ESTACIO DE FRANÇA;TUD-26-79400 (BARCELONA-ESTACIO DE FRANÇA);1275583;Travesía - TUD-A-54-320/225-0.11;1275583;022000585;BIF.GLORIAS-CLOT - BARNA.-EST. DE FRANÇA                                                                                        ;682,603;685,375
14112;Montcada Bifurcaçiò - VIA;TUD-28-79400 (BARCELONA-ESTACIO DE FRANÇA);3300;BIF. ARAGON-BARCELONA FRANCIA, I;684,764;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;28;;14/10/2008;CNV;79400;BARCELONA-ESTACIO DE FRANÇA;TUD-28-79400 (BARCELONA-ESTACIO DE FRANÇA);100685086;Travesía - TUD-A-54-320/225-0.11;100685086;022000585;BIF.GLORIAS-CLOT - BARNA.-EST. DE FRANÇA                                                                                        ;682,603;685,375
14112;Montcada Bifurcaçiò - VIA;TUD-32-79400 (BARCELONA-ESTACIO DE FRANÇA);3340;BIF. CLOT-ESTACION DE FRANCIA, III;684,9;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;32;;19/05/2020;1343078;79400;BARCELONA-ESTACIO DE FRANÇA;TUD-32-79400 (BARCELONA-ESTACIO DE FRANÇA);1275634;Travesía - TUD-A-54-320/225-0.11;1275634;022000585;BIF.GLORIAS-CLOT - BARNA.-EST. DE FRANÇA                                                                                        ;683,316;685,375
14112;Montcada Bifurcaçiò - VIA;TUD-40-79400 (BARCELONA-ESTACIO DE FRANÇA);995311;VIA 16 DE BARCELONA-ESTACIO DE FRANÇA;684,97;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;es copia;40;;18/05/2020;1341288;79400;BARCELONA-ESTACIO DE FRANÇA;TUD-40-79400 (BARCELONA-ESTACIO DE FRANÇA);1275408;Travesía - TUD-A-54-320/225-0.11;1275408;022000585;BIF.GLORIAS-CLOT - BARNA.-EST. DE FRANÇA                                                                                        ;684,893;685,196
14112;Montcada Bifurcaçiò - VIA;TUD-52-79400 (BARCELONA-ESTACIO DE FRANÇA);995311;VIA 16 DE BARCELONA-ESTACIO DE FRANÇA;684,97;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;52;;19/05/2020;1343078;79400;BARCELONA-ESTACIO DE FRANÇA;TUD-52-79400 (BARCELONA-ESTACIO DE FRANÇA);995533;Travesía - TUD-A-54-320/225-0.11;995533;022000585;BIF.GLORIAS-CLOT - BARNA.-EST. DE FRANÇA                                                                                        ;684,893;685,196
